Blog	four	looking	second	here	kids	reports	music	until	want	feature	wrong	series	re	wasn	service	needed	project	came	than	best	country	asked	much	life	worked	things	had	easy	possible	right	old	people	support	call	happy	devices	time	team	along	love	working	such	data	so	years	didn	internet	quite	open	city	future	take	ways	going	where	many	wants	photos	technology	being	around	favorite	mean	her	complete	ad	am	having	tv	large	small	full	hours	experience	via	company	learn	information	its	always	found	really	self	also	play	plan	sometimes	microsoft	set	see	last	whole	community	recent	person	couple	d	continue	anything	into	link	line	posted	up	us	ago	young	try	video	let	great	makes	next	process	high	allow	could	start	system	haven	bring	should	hope	move	means	stuff	email	ve	off	less	web	government	five	become	does	doing	problem	worth	told	word	work	interview	after	office	then	them	network	another	john	do	away	com	air	photo	thanks	night	security	post	months	way	reality	update	together	change	live	car	heard	write	product	still	half	now	down	year	happen	space	shows	care	yourself	friend	online	only	between	article	comes	these	media	thinking	real	read	early	amp	business	lot	trying	building	month	very	learned	family	put	takes	almost	taken	site	history	help	soon	actually	beyond	event	since	reason	ask	american	clear	latest	pretty	during	x	close	won	probably	both	else	look	while	used	user	game	some	run	within	doesn	youtube	go	facebook	click	started	point	links	software	including	him	front	special	keep	exactly	need	able	based	course	she	written	police	well	page	twitter	home	he	stories	star	friends	using	companies	force	likely	even	tips	ever	never	tell	room	give	answer	before	personal	better	weeks	went	side	content	isn	matter	mind	seen	don	m	stop	bad	said	against	appeared	three	website	say	if	make	left	human	yet	deal	popular	super	finally	did	making	may	man	maybe	talk	nbsp	group	interesting	morning	earlier	thing	think	first	fast	little	anyone	were	paid	shot	show	behind	black	get	reading	enough	across	according	mark	those	different	pay	same	running	money	either	videos	again	students	important	u	starting	public	search	two	share	needs	through	late	good	everyone	house	hard	idea	members	done	least	part	believe	build	most	services	find	please	simple	create	bill	fun	itself	spent	spend	world	source	big	bit	google	often	back	single	entire	giving	access	others	later	themselves	ll	day	text	value	thought	add	like	happens	buy	minutes	original	under	every	school	voice	would	phone	must	me	times	end	over	writing	each	got	free	wanted	days	already	top	too	took	past	though	watch	news	games	been	several	social	everything	hear	trip	no	when	level	goes	water	today	happened	name	turn	place	coming	white	any	ideas	sure	state	college	come	case	myself	someone	check	week	without	seems	blog	or	there	follow	program	woman	worse	far	list	design	version	known	rather	short	might	wouldn	number	feel	says	story	kind	nothing	his	wrote	art	android	recently	c	questions	question	long	called	users	once	issues	include	apple	app	use	few	women	something	instead	looks	our	out	control	york	their	which	who	why	view	available	job	gets	other	smart	know	press	january	because	getting	own	apps	made	whether	record	book
mezzoblue	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	1	0	0	1	2	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	5	1	0	3	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	1	2	0	0	0	0	1	0	3	0	0	1	0	3	0	0	0	1	0	0	2	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eschaton	0	0	0	3	2	0	0	0	2	0	4	0	4	0	0	1	0	0	3	2	2	0	3	0	0	0	2	1	0	1	1	9	0	0	2	0	1	0	0	0	0	1	2	4	2	0	1	2	1	3	0	2	1	3	3	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	3	0	1	0	0	0	0	1	3	2	1	0	0	0	0	2	0	0	2	0	0	0	5	2	0	1	0	0	2	0	0	0	0	1	0	2	0	1	0	0	1	1	0	1	2	0	3	3	0	0	2	0	2	1	0	3	0	0	0	0	0	1	0	2	3	0	2	1	4	3	1	0	0	0	4	0	1	1	3	0	0	0	0	2	1	0	0	0	1	0	0	1	4	0	0	1	0	1	0	0	4	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	2	2	7	0	0	0	0	1	0	0	0	1	0	0	0	0	2	2	0	0	1	0	0	0	3	3	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	4	0	2	2	0	0	1	1	3	0	3	0	1	0	0	2	0	0	0	5	8	1	0	2	0	0	2	0	1	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	3	3	0	0	0	1	2	0	0	1	0	0	5	0	0	0	1	0	1	0	0	0	0	3	1	0	2	0	1	0	0	1	0	0	0	0	1	2	4	0	0	0	1	0	1	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	1	3	0	3	0	0	1	0	0	1	0	1	2	0	0	1	0	0	0	5	0	0	1	0	0	2	0	0	0	4	1	0	0	0	0	0	1	4	0	4	0	0	0	1	0	0	0	1	0	1	0	2	5	0	0	0	0	1	0	1	0	0	1	0	0	2	1	0	1	0	3	2	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	3	2	0	0	0	1	1	2	0	0	1	1	1	0	0	1	0	2	0
ShoeMoney	1	2	0	9	1	0	0	3	3	0	1	0	2	1	2	0	0	0	2	3	0	2	7	2	2	5	7	2	1	2	0	12	1	1	1	0	10	1	0	0	0	0	0	16	2	2	2	0	1	0	0	1	0	2	1	2	0	0	0	1	0	1	1	0	0	0	5	3	0	0	0	0	0	4	1	1	1	1	8	4	2	3	1	1	0	0	0	0	1	3	5	0	0	0	1	3	1	0	1	3	1	0	2	6	0	6	0	0	0	3	3	2	3	1	1	1	0	2	0	0	0	6	0	1	0	1	2	0	4	0	2	0	0	2	1	2	0	2	1	0	6	0	1	0	2	8	4	0	3	9	6	6	0	0	1	0	0	5	2	4	1	0	0	1	0	0	2	1	2	3	0	0	2	8	1	0	0	0	3	2	2	5	1	1	2	1	4	1	3	3	2	0	7	7	0	0	1	5	1	0	2	0	0	1	4	0	1	0	0	0	0	1	0	2	0	0	2	2	2	1	0	1	3	0	0	0	3	2	0	0	6	1	0	3	0	5	2	5	6	4	1	0	0	3	1	0	1	0	1	1	0	2	0	1	1	3	3	0	0	8	0	0	0	1	1	0	1	4	2	2	2	2	0	1	2	6	2	1	2	2	2	2	1	2	1	1	10	2	0	1	0	0	0	0	4	4	5	4	0	0	1	0	0	3	0	4	0	4	0	0	0	0	0	0	0	1	3	3	8	0	1	1	4	2	1	3	1	0	16	0	0	0	0	0	1	1	1	1	1	9	1	0	0	0	0	0	2	0	0	0	4	0	5	0	5	0	1	1	0	0	1	1	3	0	1	13	0	4	0	0	1	0	1	0	0	0	2	0	2	1	0	3	7	0	0	3	0	1	0	0	3	8	0	2	2	0	5	1	3	0	1	0	4	1	0	5	3	0	9	1	1	6	1	0	3	2	4	0	0	0	2	3	0	4	2	0	0	3	2	1	1	0	1	6	15	0	1	0	1	0	0	0	1	2	0	0	0	1	0	2	0	0	1	1	4	0	0	0	10	11	8	0	3	0	0	1	0	0	0	2	1	0	0	1	0	2	1	0	1	0	6	2	0	0	2	2	2	6	0	3	0	3	0	0	4	0	4	3	0	3	0	1	6	13	0	0	4	2	7	0	0	0	1	0	5	0	2	1	0	3	2	4	0	4	1	0	0
Slashdot	1	0	0	1	0	2	0	1	0	1	0	0	1	0	1	0	2	0	1	0	0	0	1	1	0	4	6	0	1	1	2	2	1	1	0	4	6	0	1	0	5	2	2	3	3	1	3	0	5	0	1	1	0	2	2	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	1	0	1	1	0	3	0	1	4	1	3	1	0	4	0	0	0	0	1	1	2	0	2	1	0	0	2	0	0	4	0	0	1	3	7	1	0	0	0	0	0	0	0	2	0	0	3	1	2	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	1	1	3	1	0	1	1	0	4	0	0	5	3	2	0	3	2	1	0	0	0	0	1	1	2	2	0	0	0	1	0	2	0	0	0	1	0	6	1	3	0	5	2	0	0	0	2	6	0	0	0	4	0	1	0	15	1	1	2	2	1	2	0	1	0	0	0	0	0	0	3	0	1	0	1	2	0	2	0	0	0	2	1	0	1	0	1	0	2	1	0	1	2	5	0	2	6	2	0	1	0	1	3	0	0	0	0	2	5	0	1	0	0	0	1	3	3	2	2	0	0	1	1	0	0	2	0	0	0	2	0	1	4	2	1	0	0	0	1	0	1	2	0	1	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	2	0	0	0	2	0	4	0	0	2	0	0	1	0	5	0	0	0	0	4	0	0	2	0	0	3	0	0	1	8	0	0	0	0	1	2	0	0	0	2	0	4	0	0	4	0	1	1	1	0	3	1	2	0	0	0	3	0	1	3	1	0	1	2	0	0	3	1	1	2	2	1	3	0	0	0	0	0	4	0	0	1	0	2	0	1	1	5	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	2	5	1	0	0	1	2	1	0	1	0	1	0	0	0	1	0	0	0	3	0	0	0	4	0	1	1	1	0	6	0	1	0	1	1	2	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	2	1	1	1	8	1	1	5	1	0	0	0	2	1	0	0	1	3	2	0	1	6	16	0	0	0	1	0	3	0	0	0	1	2	1	5	0	0	2	1	0	1	0	1	1	1	0	3	1	1	2	7	5	2	0	0	0	0	0	4	0	1	0	0	1	0	1	1	2	2	1	0
Matt Cutts: Gadgets, Google, and SEO	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	4	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	3	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	3	0	0	0	0	2	0	0	1	0	1	0	0	2	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	5	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	5	0	0	3	0	0	1	0	0	1	0	0	2	1	0	1	0	1	0	0	1	2	0	0	1	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1
Gothamist	1	1	1	2	2	1	0	0	2	0	0	1	1	0	0	0	0	0	2	3	1	0	3	0	0	1	1	0	1	1	2	1	0	0	0	0	3	0	1	0	0	0	1	1	2	0	0	0	0	7	1	1	0	0	2	1	0	1	0	0	3	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2	1	0	5	2	0	0	0	1	1	1	1	0	0	2	4	0	0	0	1	0	0	0	0	4	0	1	0	1	3	0	1	0	2	1	0	0	1	0	2	0	4	0	1	0	1	0	0	2	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	3	0	2	0	2	1	2	1	0	2	0	0	0	0	0	1	0	0	1	1	0	2	0	0	2	0	0	1	0	0	2	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	3	0	1	0	1	0	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	5	1	0	0	0	3	2	1	0	0	2	0	0	1	0	3	2	0	0	0	2	0	1	0	2	0	0	2	1	8	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	0	1	0	1	1	3	0	1	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	4	0	2	3	0	1	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	1	0	0	1	2	0	1	0	0	1	1	2	3	0	0	2	0	1	2	0	0	1	0	0	0	0	1	0	5	0	0	0	0	0	1	4	1	0	0	3	0	1	0	1	1	0	1	0	0	1	0	0	1	0	1	2	2	0	0	0	3	3	2	0	1	0	0	2	0	0	0	0	0	1	0	0	0	2	1	2	2	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	3	7	2	3	1	0	4	1	0	0	0	0	0	0	1	0	1	2	0	1	0	1	0	0	0
BuzzMachine	1	0	1	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	4	1	0	0	1	2	0	0	0	3	0	1	1	0	0	2	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	3	0	0	3	1	0	1	1	2	0	0	0	0	0	2	2	1	0	0	0	0	1	0	0	2	0	1	1	0	4	0	0	0	3	3	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	0	1	1	2	3	1	0	1	1	0	4	0	3	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	1	2	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	1	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	1	1	0	0	0	0	1	1	0	0	0	2	0	0	0	1	0	1	1	2	0	0	0	1	0	0	0	1	1	3	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	2	3	1	0	0	1	2	0	0	1	0	2	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	2	3	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	3	0	1	0	2	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	2	1	1	1	0	0	0	1	0	0	0	0	2	0	0	3	0	1	0	1	1	0	2	1	2	0	0	0	0	0	0	0	1	0	2	0	0	6	2	0	2	3	0	2	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0
The Huffington Post | The Full Feed	4	5	3	19	3	3	1	7	11	0	3	5	20	7	2	2	5	11	27	10	8	7	17	4	5	17	68	0	1	17	21	34	5	3	2	0	24	16	4	10	4	9	2	48	20	12	1	3	7	22	8	15	3	10	18	13	0	0	1	19	6	1	8	32	1	1	10	8	2	2	5	6	1	5	1	10	6	4	49	3	12	21	3	23	7	3	3	0	6	15	19	6	12	2	8	1	9	4	3	19	0	12	10	45	17	4	13	2	0	6	5	5	3	1	5	2	33	3	13	14	4	15	4	8	5	0	2	10	7	7	1	16	2	5	8	7	7	2	13	2	12	1	22	7	11	22	0	11	2	34	6	11	4	15	2	5	4	31	0	18	2	0	2	12	7	4	2	0	0	15	3	21	14	25	5	0	1	5	4	2	1	14	3	0	7	19	1	0	10	8	3	133	2	6	5	4	3	8	4	12	7	2	5	7	2	6	4	4	8	6	4	11	8	2	13	4	2	1	12	0	2	5	5	9	5	10	14	35	0	2	20	5	3	4	0	19	2	1	4	6	0	0	6	21	4	6	5	2	16	5	5	4	39	4	11	18	0	5	17	60	5	0	4	2	0	19	3	22	6	10	12	0	6	2	5	20	32	8	2	11	2	0	4	4	2	6	17	15	9	2	52	12	2	12	26	16	44	15	4	4	8	5	3	4	6	14	9	69	18	0	2	0	5	1	2	2	5	16	26	3	10	3	50	1	3	3	2	13	27	3	6	5	10	1	25	8	4	9	4	8	3	0	5	1	3	17	0	11	5	25	3	8	15	5	8	5	8	10	3	4	5	6	12	3	3	20	2	13	7	4	3	3	1	3	11	2	9	2	9	3	0	5	18	3	3	0	3	7	9	4	8	11	1	0	7	3	30	2	4	3	0	12	8	3	2	34	0	4	3	10	2	19	0	8	12	3	6	1	2	0	6	8	5	5	6	12	8	42	7	0	3	2	4	46	44	0	3	35	2	4	3	2	7	4	9	22	0	6	10	9	11	12	4	4	1	9	14	5	0	46	63	1	2	4	1	5	3	1	0	7	8	1	11	4	11	5	8	7	10	4	68	1	1	0	3	5	2	9	14	11	0	3	6	2	0	0	37	7	5	8	3	1	64	45	0	11	57	26	59	15	7	1	4	1	25	1	19	3	11	26	14	19	0	21	10	1	0
PerezHilton	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	4	0	2	0	0	0	2	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	2	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	1	1	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	2	0	1	9	0	2	3	0	0	0	0	2	1	0	0	0	2	0	1	0	0	0	0	0
Gawker	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	2	1	0	2	0	0	0	1	7	0	2	0	0	1	0	0	3	0	0	0	2	2	1	0	0	0	2	0	1	0	2	1	1	0	0	0	1	0	0	0	5	0	0	0	0	1	0	1	1	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	4	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	3	1	3	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	6	0	2	0	1	0	4	2	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	3	0	3	0	0	0	0	0	0	0	0	2	0	0	2	1	0	1	25	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	3	0	1	0	0	2	0	2	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0
